poll_code,displayType,categories
poll_3,text,Movies and TV
poll_4,text,Other
poll_7,text,Food and Drinks
poll_11,text,Dating and Relationship
poll_12,text,Would You Rather
poll_17,text,Other
poll_18,text,Other
poll_19,text,Trivia
poll_20,text,Language and Names
poll_22,text,Random
poll_22,text,Lifestyle
poll_24,text,Other
poll_25,text,Other
poll_26,text,Hypothetical
poll_27,text,Philosophy and Religion
poll_32,text,Other
poll_33,text,Random
poll_33,text,Dating and Relationship
poll_35,text,Lifestyle
poll_36,text,Philosophy and Religion
poll_40,text,Philosophy and Religion
poll_41,text,Dating and Relationship
poll_42,text,Dating and Relationship
poll_46,text,Hypothetical
poll_47,text,Hypothetical
poll_48,text,Current Events
poll_49,text,Current Events
poll_50,text,Hypothetical
poll_52,text,Other
poll_56,text,Campus Musings
poll_57,text,Dating and Relationship
poll_66,text,Other
poll_69,text,Dating and Relationship
poll_70,text,Anime
poll_71,text,Anime
poll_78,text,Other
poll_79,text,Other
poll_82,text,Dating and Relationship
poll_84,text,Other
poll_85,text,Other
poll_88,text,Internet
poll_93,text,Other
poll_94,text,Hypothetical
poll_95,text,Dating and Relationship
poll_97,text,Random
poll_97,text,Other
poll_98,text,Dating and Relationship
poll_100,text,Other
poll_101,text,Random
poll_101,text,Other
poll_103,text,Other
poll_106,text,Other
poll_107,text,Random
poll_107,text,Would You Rather
poll_108,text,College Musings
poll_109,text,Dating and Relationship
poll_110,text,Dating and Relationship
poll_112,text,Would You Rather
poll_113,text,Language and Names
poll_114,text,Other
poll_119,text,Random
poll_119,text,Dating and Relationship
poll_121,text,Lifestyle
poll_122,text,Other
poll_123,text,Lifestyle
poll_125,text,Lifestyle
poll_126,text,Dating and Relationship
poll_127,text,Other
poll_129,text,Movies and TV
poll_132,text,Would You Rather
poll_133,text,Current Events
poll_135,text,Lifestyle
poll_136,text,Hypothetical
poll_137,text,Lifestyle
poll_139,text,Dating and Relationship
poll_140,text,Random
poll_140,text,Trivia
poll_141,text,Trivia
poll_142,text,Random
poll_142,text,Other
poll_144,text,Dating and Relationship
poll_145,text,Dating and Relationship
poll_148,text,City Musings
poll_149,text,Random
poll_149,text,Dating and Relationship
poll_150,text,Tech
poll_151,text,Other
poll_155,text,Other
poll_156,text,Other
poll_157,text,Dating and Relationship
poll_161,text,Random
poll_161,text,Dating and Relationship
poll_163,text,Other
poll_164,text,Would You Rather
poll_165,text,Sports
poll_166,text,Other
poll_167,text,Other
poll_168,text,Lifestyle
poll_170,text,Philosophy and Religion
poll_172,text,Other
poll_173,text,Gaming
poll_174,text,Dating and Relationship
poll_179,text,Dating and Relationship
poll_182,text,Hypothetical
poll_183,text,Dating and Relationship
poll_184,text,Dating and Relationship
poll_187,text,Other
#N/A,text,Random
#N/A,text,Other
poll_194,text,Would You Rather
poll_196,text,Would You Rather
poll_200,text,Other
poll_203,text,Dating and Relationship
poll_206,text,Other
poll_207,text,Other
poll_208,text,Celebrities
poll_211,text,Would You Rather
poll_213,text,Hypothetical
poll_214,text,City Musings
poll_217,text,Would You Rather
poll_218,text,Other
poll_219,text,Food and Drinks
poll_222,text,Other
poll_223,text,Dating and Relationship
poll_226,text,Would You Rather
poll_228,text,Dating and Relationship
poll_230,text,Other
poll_231,text,Travel and Geography
poll_235,text,Random
poll_235,text,Lifestyle
poll_237,text,Movies and TV
poll_238,text,Lifestyle
poll_239,text,Campus Musings
poll_240,text,Dating and Relationship
poll_241,text,Language and Names
poll_242,text,Trivia
